"skill_name";"n";"Rcolor";"skillgroup";"Pcolor"
"Arm Bar";2;"aliceblue";"strength";"darkgreen"
"Brawler";8;"slateblue";"strength";"mediumslateblue"
"Break Tackle";1;"aliceblue";"strength";"darkgreen"
"Grab";1;"gray5";"strength";"firebrick"
"Guard";296;"green";"strength";"green"
"Juggernaut";8;"slateblue2";"strength";"darkblue"
"Mighty Blow";54;"red";"strength";"red"
"Multiple Block";1;"aliceblue";"strength";"darkgreen"
"Pile Driver";0;"aliceblue";"strength";"darkgreen"
"Stand Firm";1;"aliceblue";"strength";"darkgreen"
"Strong Arm";0;"aliceblue";"strength";"darkgreen"
"Thick Skull";1;"aliceblue";"strength";"darkgreen"
"Accurate";5;"aliceblue";"passing";"indigo"
"Cannoneer";1;"gray3";"passing";"indigo"
"Cloud Burster";0;"aliceblue";"passing";"indigo"
"Dump-off";2;"gray0";"passing";"indigo"
"Fumblerooskie";0;"aliceblue";"passing";"indigo"
"Hail Mary Pass";1;"aliceblue";"passing";"indigo"
"Leader";62;"purple";"passing";"purple"
"Nerves of Steel";0;"aliceblue";"passing";"indigo"
"On the ball";0;"aliceblue";"passing";"indigo"
"Pass";1;"aliceblue";"passing";"indigo"
"Running Pass";1;"aliceblue";"passing";"indigo"
"Safe Pass";0;"aliceblue";"passing";"indigo"
"Big Hand";0;"aliceblue";"mutations";"darkred"
"Claws";2;"red3";"mutations";"darkred"
"Disturbing Presence";0;"aliceblue";"mutations";"darkred"
"Extra Arms";1;"aliceblue";"mutations";"darkred"
"Foul Appearance";0;"slateblue";"mutations";"darkred"
"Horns";1;"aliceblue";"mutations";"darkred"
"Iron Hard Skin";0;"aliceblue";"mutations";"darkred"
"Monstrous Mouth";1;"aliceblue";"mutations";"darkred"
"Prehensile Tail";0;"aliceblue";"mutations";"darkred"
"Tentacles";1;"aliceblue";"mutations";"darkred"
"Two Heads";1;"gray6";"mutations";"darkred"
"Very long legs";0;"aliceblue";"mutations";"darkred"
"Block";290;"blue";"general";"blue"
"Dauntless";1;"aliceblue";"general";"cyan"
"Dirty Player";15;"chocolate3";"general";"brown"
"Fend";0;"slategray";"general";"slategray"
"Frenzy";6;"red2";"general";"crimson"
"Kick";8;"slateblue4";"general";"slateblue"
"Pro";12;"pink3";"general";"rosybrown"
"Shadowing";0;"slateblue";"general";"slateblue"
"Strip Ball";25;"deeppink1";"general";"deeppink"
"Sure Hands";12;"pink4";"general";"pink"
"Tackle";40;"orange";"general";"orange"
"Wrestle";104;"grey80";"general";"floralwhite"
"Catch";1;"aliceblue";"agility";"lightyellow"
"Defensive";1;"gray4";"agility";"lightgoldenrodyellow"
"Diving Catch";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Diving Tackle";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Dodge";135;"yellow";"agility";"yellow"
"Jump Up";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Leap";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Safe Pair of Hands";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Side Step";4;"yellow1";"agility";"lightyellow"
"Sneaky Git";24;"pink1";"agility";"pink"
"Sprint";1;"aliceblue";"agility";"lightgoldenrodyellow"
"Sure Feet";3;"yellow2";"agility";"khaki"
